"id_municipio";"id_bairro";"uf";"municipio";"bairro";"longitude";"latitude"
70;42779;"AL";"Maceió";"Pinheiro";-35.743418;-9.6336301
70;42780;"AL";"Maceió";"Pitanguinha";-35.7324982;-9.6349266
70;42781;"AL";"Maceió";"Ponta Grossa";-35.7584303;-9.6611771
70;42782;"AL";"Maceió";"Ponta Verde";-35.7051921;-9.6616448
70;42783;"AL";"Maceió";"Ponta da Terra";-35.7147503;-9.6640301
70;42784;"AL";"Maceió";"Pontal da Barra";-35.7693466;-9.6880411
70;42785;"AL";"Maceió";"Poço";-35.7229421;-9.6607076
70;42786;"AL";"Maceió";"Prado";-35.7488774;-9.6705306
70;42787;"AL";"Maceió";"Riacho Doce";-35.6560176;-9.5641859
70;42788;"AL";"Maceió";"Rio Novo";-35.8071153;-9.5781636
70;42789;"AL";"Maceió";"Santa Amélia";-35.7720754;-9.5915357
70;42790;"AL";"Maceió";"Santa Lúcia";-35.7543363;-9.5807404
70;42791;"AL";"Maceió";"Santo Amaro";-35.7420531;-9.6091598
70;42792;"AL";"Maceió";"Santos Dumont";-35.7895718;-9.5490508
70;42793;"AL";"Maceió";"Serraria";-35.7225019;-9.6051064
70;42794;"AL";"Maceió";"São Jorge";-35.7038265;-9.6160322
70;42795;"AL";"Maceió";"Tabuleiro do Martins";-35.7652532;-9.5747625
70;42796;"AL";"Maceió";"Trapiche da Barra";-35.7597949;-9.6739234
70;42797;"AL";"Maceió";"Vergel do Lago";-35.7592011;-9.6555087
71;42798;"AL";"Major Isidoro";"Centro";-36.9874051;-9.5333053
71;42799;"AL";"Major Isidoro";"Povoado de Capelinha";-37.139371;-9.5695307
76;42800;"AL";"Mar Vermelho";"Centro";-48.2521954;-18.9373926
72;42690;"AL";"Maragogi";"Centro";-36.6412393;-9.7566236
72;42844;"AL";"Maragogi";"Peroba";-35.1723583;-8.9528092
72;42801;"AL";"Maragogi";"Povoado São Bento";-35.2208277;-9.0103719
73;42802;"AL";"Maravilha";"Centro";-36.6404511;-9.7550233
74;42803;"AL";"Marechal Deodoro";"Centro";-35.8968193;-9.7167471
74;42804;"AL";"Marechal Deodoro";"Polo Cloroquimico";-35.897056;-9.710143
74;42805;"AL";"Marechal Deodoro";"Povoado Barra Nova";-35.8198148;-9.7183808
74;42806;"AL";"Marechal Deodoro";"Praia do Francês";-35.8552598;-9.7728065
75;42807;"AL";"Maribondo";"Centro";-36.3058392;-9.5773909
75;42808;"AL";"Maribondo";"Mata Verde";-36.3849607;-9.5109071
77;42809;"AL";"Mata Grande";"Centro";-37.8260225;-8.9026264
77;42810;"AL";"Mata Grande";"Povoado Santa Cruz do Deserto";-37.7326388;-9.1186648
78;42811;"AL";"Matriz de Camaragibe";"Centro";-36.6624309;-9.7246907
79;42812;"AL";"Messias";"Centro";-60.0263199;-3.1215863
80;42813;"AL";"Minador do Negrão";"Centro";-36.8698863;-9.312782
81;42814;"AL";"Monteirópolis";"Centro";-36.665875;-9.7241407
82;42815;"AL";"Murici";"Centro";-36.5572265;-10.2863737
83;42816;"AL";"Novo Lino";"Centro";-46.4989386;-23.4943241
86;42817;"AL";"Olho d`Água Grande";"Centro";-38.9560329;-12.255793
84;42818;"AL";"Olho d`Água das Flores";"Centro";-36.662387;-9.7251615
85;42819;"AL";"Olho d`Água do Casado";"Centro";-37.830415;-9.5039975
87;42820;"AL";"Olivença";"Centro";-36.6654692;-9.7213858
88;42821;"AL";"Ouro Branco";"Centro";-36.6513982;-9.7364712
89;42822;"AL";"Palestina";"Centro";-36.6629601;-9.7253409
90;42823;"AL";"Palmeira dos Índios";"Alto do Cruzeiro";-36.6301187;-9.4024337
90;42705;"AL";"Palmeira dos Índios";"Canafístula";-36.7145927;-9.4010672
90;42824;"AL";"Palmeira dos Índios";"Centro";-36.6304491;-9.4074528
90;42825;"AL";"Palmeira dos Índios";"Eucalíptos";-38.9247478;-12.2634833
90;42826;"AL";"Palmeira dos Índios";"Jardim Brasil";-36.6411031;-9.4151051
90;42827;"AL";"Palmeira dos Índios";"Juca Sampaio";-36.6290333;-9.4185798
90;42828;"AL";"Palmeira dos Índios";"Palmeira de Fora";-36.6566161;-9.4138218
90;42829;"AL";"Palmeira dos Índios";"Paraíso";-36.6256551;-9.4093758
90;42746;"AL";"Palmeira dos Índios";"Povoado Lagoa do Caldeirão";-36.5520098;-9.5081899
90;42830;"AL";"Palmeira dos Índios";"Ribeira";-36.6234859;-9.4026932
90;42831;"AL";"Palmeira dos Índios";"São Cristóvão";-36.6358175;-9.4119931
90;42832;"AL";"Palmeira dos Índios";"São Francisco";-36.6225687;-9.417138
90;42833;"AL";"Palmeira dos Índios";"São Luiz";-36.6276855;-9.4123424
90;42834;"AL";"Palmeira dos Índios";"Tenório Cavalcante";-36.6250477;-9.4000335
90;42835;"AL";"Palmeira dos Índios";"Vila Maria";-36.6401373;-9.419475
90;42836;"AL";"Palmeira dos Índios";"Vila Nova";-36.6208639;-9.3978353
90;42837;"AL";"Palmeira dos Índios";"Xucurus";-36.6195145;-9.4165368
92;42838;"AL";"Pariconha";"Centro";-37.9990943;-9.2567645
92;42839;"AL";"Pariconha";"Pariconha";-37.9990943;-9.2567645
93;42840;"AL";"Paripueira";"Centro";-35.5522986;-9.4635594
94;42841;"AL";"Passo de Camaragibe";"Centro";-36.6629601;-9.7253409
95;42842;"AL";"Paulo Jacinto";"Centro";-36.6642581;-9.7262775
96;42843;"AL";"Penedo";"Centro";-36.579494;-10.2899088
97;42845;"AL";"Piaçabuçu";"Centro";-36.6640368;-9.723624
98;42846;"AL";"Pilar";"Centro";-35.7009438;-9.6373124
99;42847;"AL";"Pindoba";"Centro";-40.1085695;-2.8814515
100;42848;"AL";"Piranhas";"Centro";-40.1085695;-2.8814515
100;42849;"AL";"Piranhas";"Piau";-37.6684465;-9.4790221
102;42850;"AL";"Porto Calvo";"Centro";-36.6710016;-9.7576226
104;42851;"AL";"Porto Real do Colégio";"Centro";-36.6543874;-9.7379588
103;42852;"AL";"Porto de Pedras";"Centro";-36.6633601;-9.7264208
101;42854;"AL";"Poço das Trincheiras";"Centro";-37.2854665;-9.3063354
91;42855;"AL";"Pão de Açúcar";"Centro";-35.6981595;-9.635664
91;42856;"AL";"Pão de Açúcar";"Machado";-37.4350041;-9.748263
91;42857;"AL";"Pão de Açúcar";"Povoado Impoeiras";-37.4351721;-9.7493777
91;42858;"AL";"Pão de Açúcar";"Vila Limoeiro";-37.3120428;-9.8092013
105;42859;"AL";"Quebrangulo";"Centro";-35.7284778;-9.6657426
105;42860;"AL";"Quebrangulo";"Vila São Francisco";-36.4695688;-9.3204345
106;42861;"AL";"Rio Largo";"Centro";-35.6994419;-9.636929
106;42881;"AL";"Rio Largo";"Taboleiro do Pinto";-35.802629;-9.5284277
106;42862;"AL";"Rio Largo";"Tabuleiro do Pinto";-35.802629;-9.5284277
106;42863;"AL";"Rio Largo";"Utinga";-35.807824;-9.5364717
107;42865;"AL";"Roteiro";"Centro";-35.9037947;-9.8436319
108;42866;"AL";"Santa Luzia do Norte";"Centro";-36.665281;-9.7222968
109;42867;"AL";"Santana do Ipanema";"Centro";-35.7003151;-9.6358695
110;42868;"AL";"Santana do Mundaú";"Centro";-36.2179354;-9.1718366
118;42869;"AL";"Satuba";"Centro";-34.9654447;-8.0241132
118;42870;"AL";"Satuba";"Primavera";-35.8096084;-9.5057583
119;42871;"AL";"Senador Rui Palmeira";"Centro";-35.7642212;-9.6649815
111;42872;"AL";"São Brás";"Centro";-36.643489;-9.7372283
112;42873;"AL";"São José da Laje";"Centro";-36.6648346;-9.7250392
112;42874;"AL";"São José da Laje";"Usina Serra Grande";-36.0564064;-9.0030559
113;42875;"AL";"São José da Tapera";"Centro";-38.240696;-9.3948036
114;42876;"AL";"São Luís do Quitunde";"Centro";-35.6991296;-9.636181
115;42877;"AL";"São Miguel dos Campos";"Centro";-36.6620257;-9.7559896
116;42878;"AL";"São Miguel dos Milagres";"Centro";-38.9425073;-7.3117562
117;42879;"AL";"São Sebastião";"Centro";-35.8907147;-9.7351114
117;42880;"AL";"São Sebastião";"Povoado Canabrava";-48.1974882;-18.6475873
120;42882;"AL";"Tanque d`Arca";"Centro";-36.4328486;-9.5349943
121;42883;"AL";"Taquarana";"Centro";-36.6700667;-9.7566195
121;42884;"AL";"Taquarana";"Lagoa Grande";-36.4931743;-9.6457169
122;42885;"AL";"Teotônio Vilela";"Centro";-40.3798368;-19.7504844
123;42886;"AL";"Traipu";"Centro";-36.664338;-9.7243707
124;42887;"AL";"União dos Palmares";"Centro";-35.7018493;-9.6369877
124;42864;"AL";"União dos Palmares";"Povoado Rocha Cavalcante";-36.069724;-9.0966011
124;42888;"AL";"União dos Palmares";"Povoado Várzea Grande";-36.022567;-9.1596441
125;42650;"AL";"Viçosa";"Centro";-42.8870305;-20.7705663
24;42889;"AL";"Água Branca";"Centro";-48.9225834;-23.1024746
24;42890;"AL";"Água Branca";"Sitio Boqueirão";-37.866667;-9.25
126;42892;"AM";"Alvarães";"Centro";-70.0273279;-4.3751752
127;42893;"AM";"Amaturá";"Centro";-68.201831;-3.362823
166;42894;"AM";"Anamã";"Centro";-70.0273279;-4.3751752
128;42895;"AM";"Anori";"Centro";-70.0273279;-4.3751752
129;42896;"AM";"Apuí";"Centro";-60.6291792;-3.2821388
129;42897;"AM";"Apuí";"Sucunduri";-59.0488744;-6.7950344
130;42898;"AM";"Atalaia do Norte";"Centro";-70.0273279;-4.3751752
131;42899;"AM";"Autazes";"Centro";-59.0919786;-3.8884748
131;42900;"AM";"Autazes";"Santa Luzia";-59.9054603;-4.1285379
132;42902;"AM";"Barcelos";"Centro";-62.9247316;-0.9705527
133;42903;"AM";"Barreirinha";"São Judas Tadeu";-57.0701185;-2.8020043
134;42904;"AM";"Benjamin Constant";"Centro";-70.0273279;-4.3751752
135;42905;"AM";"Beruri";"São Francisco";-67.377922;-9.08622
136;42906;"AM";"Boa Vista do Ramos";"Centro";-57.5878197;-2.9744528
137;42907;"AM";"Boca do Acre";"Platô do Piquiá";-67.3321992;-8.7725226
138;42908;"AM";"Borba";"Cristo Rei";-59.5921833;-4.3954207
139;42909;"AM";"Caapiranga";"Centro";-60.6295138;-3.2824574
140;42911;"AM";"Canutama";"Centro";-63.9039427;-8.7645966
141;42912;"AM";"Carauari";"Centro";-66.8969068;-4.8773035
142;42913;"AM";"Careiro";"Janauacá";-60.3609589;-3.8193871
142;42914;"AM";"Careiro";"Vista Alegre";-60.3572294;-3.8203598
143;42915;"AM";"Careiro da Várzea";"Centro";-59.8256028;-3.1974418
144;42916;"AM";"Coari";"Centro";-63.1428319;-4.0847448
145;42917;"AM";"Codajás";"Centro";-60.0043858;-3.1200857
146;42919;"AM";"Eirunepé";"Centro";-69.8664414;-6.6666371
147;42920;"AM";"Envira";"Centro";-70.0286988;-7.4382645
148;42921;"AM";"Fonte Boa";"Cidade Nova";-66.0902887;-2.5192354
149;42922;"AM";"Guajará";"Centro";-67.8165694;-9.9776497
150;42923;"AM";"Humaitá";"Centro";-63.0231126;-7.5090407
150;42924;"AM";"Humaitá";"São Pedro";-63.0327826;-7.5126224
151;42925;"AM";"Ipixuna";"Centro";-60.0157414;-3.1310324
152;42910;"AM";"Iranduba";"Centro";-60.6226045;-3.2997272
153;42926;"AM";"Itacoatiara";"Centro";-58.4473007;-3.1447606
153;42927;"AM";"Itacoatiara";"Novo Remanso";-58.438544;-3.135021
154;42928;"AM";"Itamarati";"Centro";-66.896893;-4.8740831
155;42929;"AM";"Itapiranga";"Centro";-56.7268624;-2.6309855
156;42930;"AM";"Japurá";"Centro";-60.0182416;-3.1217824
157;42931;"AM";"Juruá";"Centro";-67.9460287;-3.1058832
158;42932;"AM";"Jutaí";"Centro";-67.9460287;-3.1058832
159;42933;"AM";"Lábrea";"Centro";-64.7976778;-7.262696
160;42934;"AM";"Manacapuru";"Centro";-60.6226045;-3.2997272
161;42935;"AM";"Manaquiri";"Centro";-60.6278505;-3.2792749
